hidden_dims,dropouts,rank,batch_size,learning_rate,factor_lr,weight_decay,post_text_dim,post_audio_dim,post_video_dim,post_dropouts,M,T,A,V,text_weight_decay,audio_weight_decay,video_weight_decay,MAE,Corr,Mult_acc_5,Mult_acc_3,Mult_acc_2,F1_score
"(64, 16, 64)","(0.3, 0.3, 0.3, 0.5)",4,32,0.0005,0.001,0.0001,8,4,8,"(0.5, 0.5, 0.5)",0.6,0.0,0.8,0.6,0.0001,1e-05,0.0001,44.62,60.4,33.61,65.08,79.34,79.66
"(64, 32, 64)","(0.3, 0.3, 0.3, 0.5)",4,64,0.005,0.0005,0.001,8,5,8,"(0.4, 0.4, 0.4)",0.6,0.2,0.8,0.2,0.0,0.001,1e-05,43.9,60.96,33.39,64.86,80.35,80.79
"(64, 32, 64)","(0.4, 0.4, 0.4, 0.4)",5,32,0.002,0.0001,0.0001,32,4,8,"(0.3, 0.3, 0.3)",0.2,0.8,0.8,1.0,0.001,0.001,0.0001,50.08,48.73,25.56,59.56,76.81,78.32
"(64, 16, 64)","(0.3, 0.3, 0.3, 0.5)",6,128,0.001,0.0005,0.0001,16,4,8,"(0.3, 0.3, 0.3)",0.8,0.6,0.4,0.6,0.001,0.001,0.001,40.63,63.72,42.58,66.87,79.65,79.7
"(128, 16, 128)","(0.3, 0.3, 0.3, 0.3)",3,64,0.005,0.0001,0.001,16,4,8,"(0.2, 0.2, 0.2)",0.2,0.8,1.0,0.0,0.0001,0.0,0.0001,39.95,65.63,41.58,67.48,82.28,82.62
"(64, 16, 64)","(0.3, 0.3, 0.3, 0.3)",4,64,0.001,0.0001,0.0001,32,5,64,"(0.3, 0.3, 0.3)",0.2,0.0,0.4,0.2,0.0,0.001,1e-05,43.84,58.1,39.52,64.95,78.12,78.75
"(64, 32, 64)","(0.3, 0.3, 0.3, 0.5)",3,128,0.0005,0.0005,0.001,64,5,64,"(0.3, 0.3, 0.3)",1.0,0.6,0.6,0.2,0.0,0.0001,0.001,42.43,59.65,43.15,66.17,79.26,79.44
"(64, 16, 64)","(0.2, 0.2, 0.2, 0.2)",4,32,0.005,0.0001,0.001,8,4,16,"(0.4, 0.4, 0.4)",1.0,0.8,0.8,0.6,0.001,0.001,0.001,47.72,51.67,30.9,62.89,77.02,78.56
"(128, 16, 128)","(0.4, 0.4, 0.4, 0.4)",4,64,0.005,0.0001,0.001,16,4,16,"(0.4, 0.4, 0.4)",1.0,0.6,0.4,0.6,0.001,0.0001,0.0001,46.86,55.09,30.77,61.84,78.38,79.63
"(256, 32, 256)","(0.3, 0.3, 0.3, 0.3)",3,128,0.005,0.001,0.005,32,4,32,"(0.2, 0.2, 0.2)",0.8,0.0,0.8,0.6,0.0,0.0001,0.0001,42.64,62.95,37.37,66.43,79.43,80.1
